刻み幅 = 0.100000
オイラーの公式
i, t, u
1, 0.100000, 1.100000
2, 0.200000, 1.210000
3, 0.300000, 1.331000
4, 0.400000, 1.464100
5, 0.500000, 1.610510
6, 0.600000, 1.771561
7, 0.700000, 1.948717
8, 0.800000, 2.143589
9, 0.900000, 2.357948
10, 1.000000, 2.593742
ホイン法
i, t, u
1, 0.100000, 1.105000
2, 0.200000, 1.221025
3, 0.300000, 1.349233
4, 0.400000, 1.490902
5, 0.500000, 1.647447
6, 0.600000, 1.820429
7, 0.700000, 2.011574
8, 0.800000, 2.222789
9, 0.900000, 2.456182
10, 1.000000, 2.714081
RK法
i, t, u
1, 0.100000, 1.105171
2, 0.200000, 1.221403
3, 0.300000, 1.349858
4, 0.400000, 1.491824
5, 0.500000, 1.648721
6, 0.600000, 1.822118
7, 0.700000, 2.013752
8, 0.800000, 2.225540
9, 0.900000, 2.459601
10, 1.000000, 2.718280


刻み幅 = 0.050000
オイラーの公式
i, t, u
1, 0.050000, 1.050000
2, 0.100000, 1.102500
3, 0.150000, 1.157625
4, 0.200000, 1.215506
5, 0.250000, 1.276282
6, 0.300000, 1.340096
7, 0.350000, 1.407100
8, 0.400000, 1.477455
9, 0.450000, 1.551328
10, 0.500000, 1.628895
11, 0.550000, 1.710339
12, 0.600000, 1.795856
13, 0.650000, 1.885649
14, 0.700000, 1.979932
15, 0.750000, 2.078928
16, 0.800000, 2.182875
17, 0.850000, 2.292018
18, 0.900000, 2.406619
19, 0.950000, 2.526950
20, 1.000000, 2.653298
ホイン法
i, t, u
1, 0.050000, 1.051250
2, 0.100000, 1.105127
3, 0.150000, 1.161764
4, 0.200000, 1.221305
5, 0.250000, 1.283897
6, 0.300000, 1.349696
7, 0.350000, 1.418868
8, 0.400000, 1.491585
9, 0.450000, 1.568029
10, 0.500000, 1.648390
11, 0.550000, 1.732870
12, 0.600000, 1.821680
13, 0.650000, 1.915041
14, 0.700000, 2.013187
15, 0.750000, 2.116363
16, 0.800000, 2.224826
17, 0.850000, 2.338849
18, 0.900000, 2.458715
19, 0.950000, 2.584724
20, 1.000000, 2.717191
RK法
i, t, u
1, 0.050000, 1.051271
2, 0.100000, 1.105171
3, 0.150000, 1.161834
4, 0.200000, 1.221403
5, 0.250000, 1.284025
6, 0.300000, 1.349859
7, 0.350000, 1.419068
8, 0.400000, 1.491825
9, 0.450000, 1.568312
10, 0.500000, 1.648721
11, 0.550000, 1.733253
12, 0.600000, 1.822119
13, 0.650000, 1.915541
14, 0.700000, 2.013753
15, 0.750000, 2.117000
16, 0.800000, 2.225541
