Kou@LAPTOP-RP8JSGBV /cygdrive/c/Users/Kou/Desktop/4J_Simulation/kadai3
$ ./kadai3
i, t, u
1, 0.100000, 1.100000
2, 0.200000, 1.210000
3, 0.300000, 1.331000
4, 0.400000, 1.464100
5, 0.500000, 1.610510
6, 0.600000, 1.771561
7, 0.700000, 1.948717
8, 0.800000, 2.143589
9, 0.900000, 2.357948
10, 1.000000, 2.593742
11, 1.100000, 2.853117
12, 1.200000, 3.138428
13, 1.300000, 3.452271
14, 1.400000, 3.797498
15, 1.500000, 4.177248
16, 1.600000, 4.594973
17, 1.700000, 5.054470
18, 1.800000, 5.559917
19, 1.900000, 6.115909
20, 2.000000, 6.727500
21, 2.100000, 7.400250
22, 2.200000, 8.140275
23, 2.300000, 8.954302
24, 2.400000, 9.849733
25, 2.500000, 10.834706
26, 2.600000, 11.918177
27, 2.700000, 13.109994
28, 2.800000, 14.420994
29, 2.900000, 15.863093
30, 3.000000, 17.449402

Kou@LAPTOP-RP8JSGBV /cygdrive/c/Users/Kou/Desktop/4J_Simulation/kadai3
$ gcc -o kadai3 -lm kadai3.c

Kou@LAPTOP-RP8JSGBV /cygdrive/c/Users/Kou/Desktop/4J_Simulation/kadai3
$ ./kadai3
i, t, u
1, 0.050000, 1.050000
2, 0.100000, 1.102500
3, 0.150000, 1.157625
4, 0.200000, 1.215506
5, 0.250000, 1.276282
6, 0.300000, 1.340096
7, 0.350000, 1.407100
8, 0.400000, 1.477455
9, 0.450000, 1.551328
10, 0.500000, 1.628895
11, 0.550000, 1.710339
12, 0.600000, 1.795856
13, 0.650000, 1.885649
14, 0.700000, 1.979932
15, 0.750000, 2.078928
16, 0.800000, 2.182875
17, 0.850000, 2.292018
18, 0.900000, 2.406619
19, 0.950000, 2.526950
20, 1.000000, 2.653298
21, 1.050000, 2.785963
22, 1.100000, 2.925261
23, 1.150000, 3.071524
24, 1.200000, 3.225100
25, 1.250000, 3.386355
26, 1.300000, 3.555673
27, 1.350000, 3.733456
28, 1.400000, 3.920129
29, 1.450000, 4.116136
30, 1.500000, 4.321942

