i, t, y, v
0, 0.000000, 10.000000, 0.000000
1, 0.005000, 10.000000, -0.100000
2, 0.010000, 9.999500, -0.200000
3, 0.015000, 9.998500, -0.299995
4, 0.020000, 9.997000, -0.399980
5, 0.025000, 9.995000, -0.499950
6, 0.030000, 9.992500, -0.599900
7, 0.035000, 9.989501, -0.699825
8, 0.040000, 9.986002, -0.799720
9, 0.045000, 9.982003, -0.899580
10, 0.050000, 9.977505, -0.999400
11, 0.055000, 9.972508, -1.099175
12, 0.060000, 9.967012, -1.198900
13, 0.065000, 9.961018, -1.298570
14, 0.070000, 9.954525, -1.398181
15, 0.075000, 9.947534, -1.497726
16, 0.080000, 9.940045, -1.597201
17, 0.085000, 9.932059, -1.696602
18, 0.090000, 9.923576, -1.795922
19, 0.095000, 9.914597, -1.895158
20, 0.100000, 9.905121, -1.994304
21, 0.105000, 9.895150, -2.093355
22, 0.110000, 9.884683, -2.192307
23, 0.115000, 9.873721, -2.291153
24, 0.120000, 9.862265, -2.389891
25, 0.125000, 9.850316, -2.488513
26, 0.130000, 9.837873, -2.587016
27, 0.135000, 9.824938, -2.685395
28, 0.140000, 9.811511, -2.783645
29, 0.145000, 9.797593, -2.881760
30, 0.150000, 9.783184, -2.979736
31, 0.155000, 9.768286, -3.077567
32, 0.160000, 9.752898, -3.175250
33, 0.165000, 9.737022, -3.272779
34, 0.170000, 9.720658, -3.370149
35, 0.175000, 9.703807, -3.467356
36, 0.180000, 9.686470, -3.564394
37, 0.185000, 9.668648, -3.661259
38, 0.190000, 9.650342, -3.757945
39, 0.195000, 9.631552, -3.854449
40, 0.200000, 9.612280, -3.950764
41, 0.205000, 9.592526, -4.046887
42, 0.210000, 9.572292, -4.142812
43, 0.215000, 9.551578, -4.238535
44, 0.220000, 9.530385, -4.334051
45, 0.225000, 9.508715, -4.429355
46, 0.230000, 9.486568, -4.524442
47, 0.235000, 9.463946, -4.619308
48, 0.240000, 9.440849, -4.713947
49, 0.245000, 9.417279, -4.808356
50, 0.250000, 9.393238, -4.902528
51, 0.255000, 9.368725, -4.996461
52, 0.260000, 9.343743, -5.090148
53, 0.265000, 9.318292, -5.183585
54, 0.270000, 9.292374, -5.276768
55, 0.275000, 9.265990, -5.369692
56, 0.280000, 9.239142, -5.462352
57, 0.285000, 9.211830, -5.554743
58, 0.290000, 9.184056, -5.646862
59, 0.295000, 9.155822, -5.738702
60, 0.300000, 9.127128, -5.830261
61, 0.305000, 9.097977, -5.921532
62, 0.310000, 9.068369, -6.012512
63, 0.315000, 9.038307, -6.103195
64, 0.320000, 9.007791, -6.193578
65, 0.325000, 8.976823, -6.283656
66, 0.330000, 8.945405, -6.373425
67, 0.335000, 8.913538, -6.462879
68, 0.340000, 8.881223, -6.552014
69, 0.345000, 8.848463, -6.640826
70, 0.350000, 8.815259, -6.729311
71, 0.355000, 8.781613, -6.817463
72, 0.360000, 8.747525, -6.905280
73, 0.365000, 8.712999, -6.992755
74, 0.370000, 8.678035, -7.079885
75, 0.375000, 8.642636, -7.166665
76, 0.380000, 8.606802, -7.253091
77, 0.385000, 8.570537, -7.339159
78, 0.390000, 8.533841, -7.424865
79, 0.395000, 8.496717, -7.510203
80, 0.400000, 8.459166, -7.595170
81, 0.405000, 8.421190, -7.679762
82, 0.410000, 8.382791, -7.763974
83, 0.415000, 8.343971, -7.847802
84, 0.420000, 8.304732, -7.931242
85, 0.425000, 8.265076, -8.014289
86, 0.430000, 8.225004, -8.096940
87, 0.435000, 8.184520, -8.179190
88, 0.440000, 8.143624, -8.261035
89, 0.445000, 8.102319, -8.342471
90, 0.450000, 8.060606, -8.423494
91, 0.455000, 8.018489, -8.504100
92, 0.460000, 7.975968, -8.584285
93, 0.465000, 7.933047, -8.664045
94, 0.470000, 7.889727, -8.743375
95, 0.475000, 7.846010, -8.822273
96, 0.480000, 7.801898, -8.900733
97, 0.485000, 7.757395, -8.978752
98, 0.490000, 7.712501, -9.056326
99, 0.495000, 7.667219, -9.133451
100, 0.500000, 7.621552, -9.210123
101, 0.505000, 7.575502, -9.286338
102, 0.510000, 7.529070, -9.362094
103, 0.515000, 7.482259, -9.437384
104, 0.520000, 7.435072, -9.512207
105, 0.525000, 7.387511, -9.586558
106, 0.530000, 7.339579, -9.660433
107, 0.535000, 7.291276, -9.733828
108, 0.540000, 7.242607, -9.806741
109, 0.545000, 7.193574, -9.879167
110, 0.550000, 7.144178, -9.951103
111, 0.555000, 7.094422, -10.022545
112, 0.560000, 7.044310, -10.093489
113, 0.565000, 6.993842, -10.163932
114, 0.570000, 6.943022, -10.233871
115, 0.575000, 6.891853, -10.303301
116, 0.580000, 6.840337, -10.372219
117, 0.585000, 6.788475, -10.440623
118, 0.590000, 6.736272, -10.508507
119, 0.595000, 6.683730, -10.575870
120, 0.600000, 6.630850, -10.642707
121, 0.605000, 6.577637, -10.709016
122, 0.610000, 6.524092, -10.774792
123, 0.615000, 6.470218, -10.840033
124, 0.620000, 6.416018, -10.904735
125, 0.625000, 6.361494, -10.968896
126, 0.630000, 6.306650, -11.032511
127, 0.635000, 6.251487, -11.095577
128, 0.640000, 6.196009, -11.158092
129, 0.645000, 6.140219, -11.220052
130, 0.650000, 6.084118, -11.281454
131, 0.655000, 6.027711, -11.342295
132, 0.660000, 5.971000, -11.402572
133, 0.665000, 5.913987, -11.462282
134, 0.670000, 5.856675, -11.521422
135, 0.675000, 5.799068, -11.579989
136, 0.680000, 5.741168, -11.637980
137, 0.685000, 5.682978, -11.695391
138, 0.690000, 5.624501, -11.752221
139, 0.695000, 5.565740, -11.808466
140, 0.700000, 5.506698, -11.864124
141, 0.705000, 5.447377, -11.919191
142, 0.710000, 5.387781, -11.973664
143, 0.715000, 5.327913, -12.027542
144, 0.720000, 5.267775, -12.080821
145, 0.725000, 5.207371, -12.133499
146, 0.730000, 5.146704, -12.185573
147, 0.735000, 5.085776, -12.237040
148, 0.740000, 5.024591, -12.287898
149, 0.745000, 4.963151, -12.338144
150, 0.750000, 4.901461, -12.387775
151, 0.755000, 4.839522, -12.436790
152, 0.760000, 4.777338, -12.485185
153, 0.765000, 4.714912, -12.532958
154, 0.770000, 4.652247, -12.580107
155, 0.775000, 4.589346, -12.626630
156, 0.780000, 4.526213, -12.672523
157, 0.785000, 4.462851, -12.717785
158, 0.790000, 4.399262, -12.762414
159, 0.795000, 4.335450, -12.806407
160, 0.800000, 4.271418, -12.849761
161, 0.805000, 4.207169, -12.892475
162, 0.810000, 4.142707, -12.934547
163, 0.815000, 4.078034, -12.975974
164, 0.820000, 4.013154, -13.016754
165, 0.825000, 3.948070, -13.056886
166, 0.830000, 3.882786, -13.096367
167, 0.835000, 3.817304, -13.135194
168, 0.840000, 3.751628, -13.173367
169, 0.845000, 3.685761, -13.210884
170, 0.850000, 3.619707, -13.247741
171, 0.855000, 3.553468, -13.283938
172, 0.860000, 3.487048, -13.319473
173, 0.865000, 3.420451, -13.354344
174, 0.870000, 3.353679, -13.388548
175, 0.875000, 3.286736, -13.422085
176, 0.880000, 3.219626, -13.454952
177, 0.885000, 3.152351, -13.487148
178, 0.890000, 3.084916, -13.518672
179, 0.895000, 3.017322, -13.549521
180, 0.900000, 2.949575, -13.579694
181, 0.905000, 2.881676, -13.609190
182, 0.910000, 2.813630, -13.638007
183, 0.915000, 2.745440, -13.666143
184, 0.920000, 2.677109, -13.693598
185, 0.925000, 2.608641, -13.720369
186, 0.930000, 2.540040, -13.746455
187, 0.935000, 2.471307, -13.771855
188, 0.940000, 2.402448, -13.796569
