i, t, y, v
0, 0.000000, 10.000000, 0.000000
1, 0.005000, 10.000000, -0.100000
2, 0.010000, 9.999500, -0.198000
3, 0.015000, 9.998510, -0.294035
4, 0.020000, 9.997040, -0.388139
5, 0.025000, 9.995099, -0.480347
6, 0.030000, 9.992697, -0.570691
7, 0.035000, 9.989844, -0.659204
8, 0.040000, 9.986548, -0.745919
9, 0.045000, 9.982818, -0.830866
10, 0.050000, 9.978664, -0.914077
11, 0.055000, 9.974094, -0.995582
12, 0.060000, 9.969116, -1.075411
13, 0.065000, 9.963739, -1.153594
14, 0.070000, 9.957971, -1.230159
15, 0.075000, 9.951820, -1.305136
16, 0.080000, 9.945294, -1.378551
17, 0.085000, 9.938401, -1.450433
18, 0.090000, 9.931149, -1.520809
19, 0.095000, 9.923545, -1.589704
20, 0.100000, 9.915597, -1.657145
21, 0.105000, 9.907311, -1.723158
22, 0.110000, 9.898695, -1.787768
23, 0.115000, 9.889756, -1.851000
24, 0.120000, 9.880501, -1.912878
25, 0.125000, 9.870937, -1.973425
26, 0.130000, 9.861070, -2.032666
27, 0.135000, 9.850907, -2.090623
28, 0.140000, 9.840453, -2.147320
29, 0.145000, 9.829717, -2.202778
30, 0.150000, 9.818703, -2.257020
31, 0.155000, 9.807418, -2.310066
32, 0.160000, 9.795867, -2.361939
33, 0.165000, 9.784058, -2.412659
34, 0.170000, 9.771994, -2.462246
35, 0.175000, 9.759683, -2.510721
36, 0.180000, 9.747130, -2.558104
37, 0.185000, 9.734339, -2.604413
38, 0.190000, 9.721317, -2.649668
39, 0.195000, 9.708069, -2.693888
40, 0.200000, 9.694599, -2.737091
41, 0.205000, 9.680914, -2.779295
42, 0.210000, 9.667017, -2.820518
43, 0.215000, 9.652915, -2.860778
44, 0.220000, 9.638611, -2.900092
45, 0.225000, 9.624110, -2.938476
46, 0.230000, 9.609418, -2.975948
47, 0.235000, 9.594538, -3.012523
48, 0.240000, 9.579476, -3.048218
49, 0.245000, 9.564235, -3.083048
50, 0.250000, 9.548819, -3.117029
51, 0.255000, 9.533234, -3.150177
52, 0.260000, 9.517483, -3.182506
53, 0.265000, 9.501571, -3.214031
54, 0.270000, 9.485501, -3.244766
55, 0.275000, 9.469277, -3.274725
56, 0.280000, 9.452903, -3.303924
57, 0.285000, 9.436384, -3.332374
58, 0.290000, 9.419722, -3.360091
59, 0.295000, 9.402921, -3.387086
60, 0.300000, 9.385986, -3.413373
61, 0.305000, 9.368919, -3.438966
62, 0.310000, 9.351724, -3.463876
63, 0.315000, 9.334405, -3.488115
64, 0.320000, 9.316964, -3.511697
65, 0.325000, 9.299406, -3.534633
66, 0.330000, 9.281733, -3.556934
67, 0.335000, 9.263948, -3.578613
68, 0.340000, 9.246055, -3.599680
69, 0.345000, 9.228056, -3.620147
70, 0.350000, 9.209956, -3.640025
71, 0.355000, 9.191756, -3.659324
72, 0.360000, 9.173459, -3.678055
73, 0.365000, 9.155069, -3.696228
74, 0.370000, 9.136587, -3.713854
75, 0.375000, 9.118018, -3.730943
76, 0.380000, 9.099363, -3.747505
77, 0.385000, 9.080626, -3.763548
78, 0.390000, 9.061808, -3.779083
79, 0.395000, 9.042913, -3.794120
80, 0.400000, 9.023942, -3.808667
81, 0.405000, 9.004899, -3.822733
82, 0.410000, 8.985785, -3.836327
83, 0.415000, 8.966604, -3.849458
84, 0.420000, 8.947356, -3.862135
85, 0.425000, 8.928046, -3.874366
86, 0.430000, 8.908674, -3.886159
87, 0.435000, 8.889243, -3.897523
88, 0.440000, 8.869755, -3.908465
89, 0.445000, 8.850213, -3.918993
90, 0.450000, 8.830618, -3.929115
91, 0.455000, 8.810973, -3.938839
92, 0.460000, 8.791278, -3.948172
93, 0.465000, 8.771537, -3.957121
94, 0.470000, 8.751752, -3.965694
95, 0.475000, 8.731923, -3.973898
96, 0.480000, 8.712054, -3.981739
97, 0.485000, 8.692145, -3.989225
98, 0.490000, 8.672199, -3.996362
99, 0.495000, 8.652217, -4.003157
100, 0.500000, 8.632201, -4.009616
101, 0.505000, 8.612153, -4.015745
102, 0.510000, 8.592075, -4.021552
103, 0.515000, 8.571967, -4.027042
104, 0.520000, 8.551832, -4.032221
105, 0.525000, 8.531671, -4.037095
106, 0.530000, 8.511485, -4.041669
107, 0.535000, 8.491277, -4.045951
108, 0.540000, 8.471047, -4.049945
109, 0.545000, 8.450797, -4.053656
110, 0.550000, 8.430529, -4.057091
111, 0.555000, 8.410244, -4.060254
112, 0.560000, 8.389942, -4.063152
113, 0.565000, 8.369627, -4.065788
114, 0.570000, 8.349298, -4.068169
115, 0.575000, 8.328957, -4.070298
116, 0.580000, 8.308605, -4.072182
117, 0.585000, 8.288244, -4.073824
118, 0.590000, 8.267875, -4.075230
119, 0.595000, 8.247499, -4.076404
120, 0.600000, 8.227117, -4.077351
121, 0.605000, 8.206730, -4.078075
122, 0.610000, 8.186340, -4.078581
123, 0.615000, 8.165947, -4.078873
124, 0.620000, 8.145553, -4.078955
125, 0.625000, 8.125158, -4.078831
126, 0.630000, 8.104764, -4.078506
127, 0.635000, 8.084371, -4.077984
128, 0.640000, 8.063981, -4.077268
129, 0.645000, 8.043595, -4.076362
130, 0.650000, 8.023213, -4.075271
131, 0.655000, 8.002837, -4.073998
132, 0.660000, 7.982467, -4.072546
133, 0.665000, 7.962104, -4.070920
134, 0.670000, 7.941749, -4.069123
135, 0.675000, 7.921404, -4.067158
136, 0.680000, 7.901068, -4.065029
137, 0.685000, 7.880743, -4.062739
138, 0.690000, 7.860429, -4.060291
139, 0.695000, 7.840128, -4.057690
140, 0.700000, 7.819839, -4.054937
141, 0.705000, 7.799565, -4.052037
142, 0.710000, 7.779304, -4.048992
143, 0.715000, 7.759059, -4.045805
144, 0.720000, 7.738830, -4.042480
145, 0.725000, 7.718618, -4.039018
146, 0.730000, 7.698423, -4.035424
147, 0.735000, 7.678246, -4.031700
148, 0.740000, 7.658087, -4.027848
149, 0.745000, 7.637948, -4.023872
150, 0.750000, 7.617829, -4.019774
151, 0.755000, 7.597730, -4.015557
152, 0.760000, 7.577652, -4.011223
153, 0.765000, 7.557596, -4.006775
154, 0.770000, 7.537562, -4.002216
155, 0.775000, 7.517551, -3.997547
156, 0.780000, 7.497563, -3.992772
157, 0.785000, 7.477599, -3.987892
158, 0.790000, 7.457660, -3.982910
159, 0.795000, 7.437745, -3.977828
160, 0.800000, 7.417856, -3.972649
161, 0.805000, 7.397993, -3.967375
162, 0.810000, 7.378156, -3.962007
163, 0.815000, 7.358346, -3.956549
164, 0.820000, 7.338563, -3.951001
165, 0.825000, 7.318808, -3.945367
166, 0.830000, 7.299082, -3.939647
167, 0.835000, 7.279383, -3.933845
168, 0.840000, 7.259714, -3.927962
169, 0.845000, 7.240074, -3.922000
170, 0.850000, 7.220464, -3.915961
171, 0.855000, 7.200884, -3.909846
172, 0.860000, 7.181335, -3.903658
173, 0.865000, 7.161817, -3.897398
174, 0.870000, 7.142330, -3.891069
175, 0.875000, 7.122875, -3.884671
176, 0.880000, 7.103451, -3.878206
177, 0.885000, 7.084060, -3.871676
178, 0.890000, 7.064702, -3.865083
179, 0.895000, 7.045376, -3.858429
180, 0.900000, 7.026084, -3.851714
181, 0.905000, 7.006826, -3.844940
182, 0.910000, 6.987601, -3.838110
183, 0.915000, 6.968410, -3.831224
184, 0.920000, 6.949254, -3.824283
185, 0.925000, 6.930133, -3.817290
186, 0.930000, 6.911046, -3.810246
187, 0.935000, 6.891995, -3.803151
188, 0.940000, 6.872979, -3.796008
