i, t, I, Q
0, 0.000000, 0.000000, 10.000000
1, 0.010000, -0.033158, 10.000000
2, 0.020000, -0.065934, 9.999667
3, 0.030000, -0.098334, 9.999004
4, 0.040000, -0.130359, 9.998016
5, 0.050000, -0.162014, 9.996706
6, 0.060000, -0.193300, 9.995078
7, 0.070000, -0.224222, 9.993135
8, 0.080000, -0.254783, 9.990881
9, 0.090000, -0.284985, 9.988321
10, 0.100000, -0.314833, 9.985457
11, 0.110000, -0.344327, 9.982293
12, 0.120000, -0.373473, 9.978832
13, 0.130000, -0.402273, 9.975079
14, 0.140000, -0.430730, 9.971036
15, 0.150000, -0.458847, 9.966707
16, 0.160000, -0.486626, 9.962096
17, 0.170000, -0.514071, 9.957205
18, 0.180000, -0.541185, 9.952039
19, 0.190000, -0.567971, 9.946600
20, 0.200000, -0.594431, 9.940892
21, 0.210000, -0.620568, 9.934918
22, 0.220000, -0.646386, 9.928681
23, 0.230000, -0.671886, 9.922185
24, 0.240000, -0.697073, 9.915432
25, 0.250000, -0.721947, 9.908427
26, 0.260000, -0.746513, 9.901171
27, 0.270000, -0.770773, 9.893669
28, 0.280000, -0.794729, 9.885922
29, 0.290000, -0.818385, 9.877935
30, 0.300000, -0.841743, 9.869711
31, 0.310000, -0.864805, 9.861251
32, 0.320000, -0.887574, 9.852560
33, 0.330000, -0.910054, 9.843640
34, 0.340000, -0.932245, 9.834494
35, 0.350000, -0.954152, 9.825125
36, 0.360000, -0.975776, 9.815535
37, 0.370000, -0.997120, 9.805729
38, 0.380000, -1.018186, 9.795708
39, 0.390000, -1.038978, 9.785475
40, 0.400000, -1.059497, 9.775033
41, 0.410000, -1.079745, 9.764385
42, 0.420000, -1.099726, 9.753534
43, 0.430000, -1.119442, 9.742482
44, 0.440000, -1.138894, 9.731231
45, 0.450000, -1.158086, 9.719785
46, 0.460000, -1.177020, 9.708147
47, 0.470000, -1.195697, 9.696318
48, 0.480000, -1.214122, 9.684301
49, 0.490000, -1.232294, 9.672099
50, 0.500000, -1.250218, 9.659714
51, 0.510000, -1.267895, 9.647150
52, 0.520000, -1.285327, 9.634407
53, 0.530000, -1.302517, 9.621490
54, 0.540000, -1.319467, 9.608399
55, 0.550000, -1.336179, 9.595139
56, 0.560000, -1.352655, 9.581710
57, 0.570000, -1.368897, 9.568116
58, 0.580000, -1.384908, 9.554359
59, 0.590000, -1.400689, 9.540440
60, 0.600000, -1.416244, 9.526363
61, 0.610000, -1.431572, 9.512130
62, 0.620000, -1.446678, 9.497743
63, 0.630000, -1.461563, 9.483204
64, 0.640000, -1.476229, 9.468515
65, 0.650000, -1.490677, 9.453679
66, 0.660000, -1.504911, 9.438698
67, 0.670000, -1.518931, 9.423573
68, 0.680000, -1.532740, 9.408308
69, 0.690000, -1.546341, 9.392904
70, 0.700000, -1.559734, 9.377363
71, 0.710000, -1.572922, 9.361688
72, 0.720000, -1.585906, 9.345880
73, 0.730000, -1.598689, 9.329942
74, 0.740000, -1.611272, 9.313875
75, 0.750000, -1.623658, 9.297682
76, 0.760000, -1.635848, 9.281364
77, 0.770000, -1.647844, 9.264923
78, 0.780000, -1.659647, 9.248363
79, 0.790000, -1.671261, 9.231683
80, 0.800000, -1.682685, 9.214887
81, 0.810000, -1.693923, 9.197976
82, 0.820000, -1.704976, 9.180952
83, 0.830000, -1.715845, 9.163817
84, 0.840000, -1.726533, 9.146573
85, 0.850000, -1.737041, 9.129221
86, 0.860000, -1.747371, 9.111764
87, 0.870000, -1.757525, 9.094203
88, 0.880000, -1.767503, 9.076540
89, 0.890000, -1.777309, 9.058776
90, 0.900000, -1.786943, 9.040914
91, 0.910000, -1.796407, 9.022956
92, 0.920000, -1.805704, 9.004902
93, 0.930000, -1.814833, 8.986754
94, 0.940000, -1.823798, 8.968515
95, 0.950000, -1.832599, 8.950186
96, 0.960000, -1.841239, 8.931769
97, 0.970000, -1.849718, 8.913264
98, 0.980000, -1.858039, 8.894674
99, 0.990000, -1.866202, 8.876001
100, 1.000000, -1.874210, 8.857246
101, 1.010000, -1.882064, 8.838410
102, 1.020000, -1.889765, 8.819495
103, 1.030000, -1.897315, 8.800503
104, 1.040000, -1.904716, 8.781435
105, 1.050000, -1.911968, 8.762293
106, 1.060000, -1.919074, 8.743077
107, 1.070000, -1.926034, 8.723791
108, 1.080000, -1.932850, 8.704434
109, 1.090000, -1.939525, 8.685009
110, 1.100000, -1.946058, 8.665517
111, 1.110000, -1.952451, 8.645959
112, 1.120000, -1.958707, 8.626337
113, 1.130000, -1.964825, 8.606652
114, 1.140000, -1.970808, 8.586905
115, 1.150000, -1.976657, 8.567099
116, 1.160000, -1.982373, 8.547233
117, 1.170000, -1.987958, 8.527310
118, 1.180000, -1.993412, 8.507331
119, 1.190000, -1.998738, 8.487298
120, 1.200000, -2.003936, 8.467210
121, 1.210000, -2.009008, 8.447071
122, 1.220000, -2.013955, 8.426880
123, 1.230000, -2.018778, 8.406640
124, 1.240000, -2.023479, 8.386351
125, 1.250000, -2.028058, 8.366015
126, 1.260000, -2.032518, 8.345633
127, 1.270000, -2.036859, 8.325206
128, 1.280000, -2.041082, 8.304736
129, 1.290000, -2.045189, 8.284223
130, 1.300000, -2.049181, 8.263669
131, 1.310000, -2.053059, 8.243075
132, 1.320000, -2.056824, 8.222441
133, 1.330000, -2.060478, 8.201770
134, 1.340000, -2.064021, 8.181063
135, 1.350000, -2.067454, 8.160319
136, 1.360000, -2.070780, 8.139541
137, 1.370000, -2.073999, 8.118730
138, 1.380000, -2.077111, 8.097886
139, 1.390000, -2.080119, 8.077011
140, 1.400000, -2.083023, 8.056106
141, 1.410000, -2.085825, 8.035172
142, 1.420000, -2.088525, 8.014209
143, 1.430000, -2.091124, 7.993219
144, 1.440000, -2.093624, 7.972204
145, 1.450000, -2.096026, 7.951163
146, 1.460000, -2.098330, 7.930098
147, 1.470000, -2.100539, 7.909009
148, 1.480000, -2.102651, 7.887899
149, 1.490000, -2.104670, 7.866767
150, 1.500000, -2.106596, 7.845615
151, 1.510000, -2.108429, 7.824444
152, 1.520000, -2.110171, 7.803254
153, 1.530000, -2.111823, 7.782047
154, 1.540000, -2.113386, 7.760823
155, 1.550000, -2.114860, 7.739584
156, 1.560000, -2.116247, 7.718330
157, 1.570000, -2.117548, 7.697061
158, 1.580000, -2.118763, 7.675780
159, 1.590000, -2.119894, 7.654486
160, 1.600000, -2.120941, 7.633181
161, 1.610000, -2.121905, 7.611866
162, 1.620000, -2.122788, 7.590541
163, 1.630000, -2.123590, 7.569207
164, 1.640000, -2.124312, 7.547865
165, 1.650000, -2.124956, 7.526515
166, 1.660000, -2.125521, 7.505160
167, 1.670000, -2.126008, 7.483798
168, 1.680000, -2.126420, 7.462432
169, 1.690000, -2.126755, 7.441061
170, 1.700000, -2.127017, 7.419687
171, 1.710000, -2.127204, 7.398311
172, 1.720000, -2.127318, 7.376932
173, 1.730000, -2.127360, 7.355553
174, 1.740000, -2.127331, 7.334173
175, 1.750000, -2.127231, 7.312793
176, 1.760000, -2.127062, 7.291415
177, 1.770000, -2.126824, 7.270038
178, 1.780000, -2.126517, 7.248663
179, 1.790000, -2.126143, 7.227291
180, 1.800000, -2.125703, 7.205924
181, 1.810000, -2.125197, 7.184560
182, 1.820000, -2.124626, 7.163202
183, 1.830000, -2.123991, 7.141850
184, 1.840000, -2.123292, 7.120504
185, 1.850000, -2.122531, 7.099165
186, 1.860000, -2.121707, 7.077833
187, 1.870000, -2.120822, 7.056510
188, 1.880000, -2.119877, 7.035196
189, 1.890000, -2.118872, 7.013891
190, 1.900000, -2.117808, 6.992596
191, 1.910000, -2.116686, 6.971312
192, 1.920000, -2.115506, 6.950040
193, 1.930000, -2.114269, 6.928779
194, 1.940000, -2.112975, 6.907530
195, 1.950000, -2.111627, 6.886295
196, 1.960000, -2.110223, 6.865073
197, 1.970000, -2.108765, 6.843865
198, 1.980000, -2.107253, 6.822672
199, 1.990000, -2.105689, 6.801494
200, 2.000000, -2.104072, 6.780332
201, 2.010000, -2.102404, 6.759186
202, 2.020000, -2.100685, 6.738057
203, 2.030000, -2.098916, 6.716945
204, 2.040000, -2.097097, 6.695851
205, 2.050000, -2.095229, 6.674775
206, 2.060000, -2.093312, 6.653718
207, 2.070000, -2.091348, 6.632680
208, 2.080000, -2.089336, 6.611662
209, 2.090000, -2.087279, 6.590665
210, 2.100000, -2.085175, 6.569687
211, 2.110000, -2.083025, 6.548731
212, 2.120000, -2.080831, 6.527797
213, 2.130000, -2.078593, 6.506885
214, 2.140000, -2.076311, 6.485995
215, 2.150000, -2.073986, 6.465128
216, 2.160000, -2.071619, 6.444284
217, 2.170000, -2.069209, 6.423465
218, 2.180000, -2.066759, 6.402669
219, 2.190000, -2.064267, 6.381898
220, 2.200000, -2.061736, 6.361152
221, 2.210000, -2.059164, 6.340432
222, 2.220000, -2.056554, 6.319737
223, 2.230000, -2.053905, 6.299069
224, 2.240000, -2.051218, 6.278427
225, 2.250000, -2.048493, 6.257812
226, 2.260000, -2.045731, 6.237225
227, 2.270000, -2.042933, 6.216665
228, 2.280000, -2.040098, 6.196134
229, 2.290000, -2.037229, 6.175631
230, 2.300000, -2.034324, 6.155157
231, 2.310000, -2.031384, 6.134712
232, 2.320000, -2.028411, 6.114296
233, 2.330000, -2.025404, 6.093911
234, 2.340000, -2.022364, 6.073556
235, 2.350000, -2.019292, 6.053231
236, 2.360000, -2.016187, 6.032937
237, 2.370000, -2.013051, 6.012674
238, 2.380000, -2.009884, 5.992443
239, 2.390000, -2.006686, 5.972244
240, 2.400000, -2.003458, 5.952076
241, 2.410000, -2.000200, 5.931942
242, 2.420000, -1.996912, 5.911840
243, 2.430000, -1.993596, 5.891771
244, 2.440000, -1.990251, 5.871735
245, 2.450000, -1.986879, 5.851733
246, 2.460000, -1.983479, 5.831765
247, 2.470000, -1.980051, 5.811831
248, 2.480000, -1.976597, 5.791931
249, 2.490000, -1.973117, 5.772067
250, 2.500000, -1.969611, 5.752237
251, 2.510000, -1.966079, 5.732442
252, 2.520000, -1.962522, 5.712683
253, 2.530000, -1.958941, 5.692960
254, 2.540000, -1.955335, 5.673272
255, 2.550000, -1.951706, 5.653621
256, 2.560000, -1.948053, 5.634007
257, 2.570000, -1.944376, 5.614429
258, 2.580000, -1.940678, 5.594888
259, 2.590000, -1.936957, 5.575384
260, 2.600000, -1.933214, 5.555918
261, 2.610000, -1.929449, 5.536489
262, 2.620000, -1.925664, 5.517098
263, 2.630000, -1.921857, 5.497745
264, 2.640000, -1.918030, 5.478430
265, 2.650000, -1.914183, 5.459154
266, 2.660000, -1.910317, 5.439916
267, 2.670000, -1.906431, 5.420718
268, 2.680000, -1.902526, 5.401558
269, 2.690000, -1.898602, 5.382438
270, 2.700000, -1.894660, 5.363357
