x, y
11, 19
-17, -19
4, -14
-26, -20
9, 17
9, 7
14, 28
-10, 32
26, -16
-27, -5
13, -9
4, -26
5, 9
-6, 16
4, -10
7, 9
-13, 17
-28, -14
9, -25
-6, -28
16, -14
-10, 40
-18, -24
-21, 9
6, -14
-20, -12
-28, 2
34, 2
16, 10
11, 13
3, -11
7, -5
7, -3
-5, -23
14, -8
-42, 2
8, -10
-21, -25
2, -18
-13, 29
-12, -14
-5, -7
15, -5
-18, -14
4, -16
0, 22
-6, 40
3, 5
-15, 13
-24, 30
-14, -12
-14, -8
14, -6
21, -15
-14, -10
-9, -17
23, 1
-8, 0
-17, 7
8, 16
-12, 8
-8, -12
2, 14
5, 1
11, -17
23, 1
12, -10
-7, 5
-13, -27
-9, 3
19, 5
30, -12
31, -35
9, 7
13, 19
-5, -9
1, -39
13, -1
-3, -15
-1, 3
-11, 25
2, 8
35, 31
13, 13
-37, 9
15, -11
10, 0
-4, -12
4, 0
12, -10
0, -12
28, -16
-19, 9
4, 10
-10, 26
17, 3
-26, -12
9, -23
31, -21
-21, 13
-12, 6
-21, -13
19, 11
-8, 16
3, 29
16, 0
-30, -6
-21, 13
11, 51
15, 17
-7, -7
12, 0
0, 24
4, 20
-1, -17
-14, -2
5, 3
21, -17
-13, -17
-13, 9
8, 8
15, 25
-9, -11
-4, 18
-19, 5
-8, 16
-14, 4
-12, 22
17, 19
5, 15
-6, -2
2, -6
3, -13
-1, -37
11, -29
-22, -2
11, -19
39, 17
30, -6
-16, 4
-15, 15
-2, 2
-28, -22
-8, -10
13, 11
-8, -2
30, 32
7, 7
-4, -18
14, 4
12, 18
2, 8
9, 21
10, 8
13, -5
-2, -10
-8, 28
18, 20
-26, 2
-4, 30
6, 2
-19, 23
5, -7
18, 0
-24, -8
-6, 18
-1, 17
32, 24
0, -2
24, 14
22, 6
-11, 3
21, -19
2, -14
1, 3
-5, -21
4, 24
-7, -15
10, -14
22, 22
-5, -1
0, 8
23, 1
-13, 31
20, 18
11, -7
-10, 10
6, 32
-17, -21
10, -8
-19, 21
16, -10
14, -8
12, 2
0, -4
-9, 21
-11, -17
4, 18
-2, 10
27, -3
