y2 > a/c 1/1

$ ./a.exe
i, x, y_1, y_2
0, 0.000000, 10.000000, 10.000000
1, 0.100000, 1.000000, 19.000000
2, 0.200000, -0.800000, 19.000000
3, 0.300000, 0.640000, 15.580000
4, 0.400000, -0.293120, 15.019120
5, 0.500000, 0.117808, 13.076968
6, 0.600000, -0.024468, 11.923329
7, 0.700000, 0.002259, 10.701821
8, 0.800000, 0.000067, 9.634057
9, 0.900000, 0.000009, 8.670716
10, 1.000000, 0.000002, 7.803652


y2 < a/c 1/0.01

$ ./a.exe
i, x, y_1, y_2
0, 0.000000, 10.000000, 10.000000
1, 0.100000, 10.900000, 19.000000
2, 0.200000, 11.782900, 37.810000
3, 0.300000, 12.515679, 78.580145
4, 0.400000, 12.783763, 169.070514
5, 0.500000, 11.900782, 368.299193
6, 0.600000, 8.707811, 769.774097
7, 0.700000, 2.875545, 1363.101456
8, 0.800000, -0.756560, 1618.757254
9, 0.900000, 0.392471, 1334.412822
10, 1.000000, -0.092000, 1253.343375


