i, t, I, Q
0, 0.000000, 0.000000, 10.000000
1, 0.010000, -0.033350, 10.000000
2, 0.020000, -0.066700, 9.999665
3, 0.030000, -0.100049, 9.998994
4, 0.040000, -0.133396, 9.997989
5, 0.050000, -0.166739, 9.996648
6, 0.060000, -0.200078, 9.994973
7, 0.070000, -0.233411, 9.992962
8, 0.080000, -0.266737, 9.990616
9, 0.090000, -0.300056, 9.987935
10, 0.100000, -0.333366, 9.984920
11, 0.110000, -0.366666, 9.981569
12, 0.120000, -0.399954, 9.977885
13, 0.130000, -0.433231, 9.973865
14, 0.140000, -0.466493, 9.969511
15, 0.150000, -0.499742, 9.964823
16, 0.160000, -0.532975, 9.959800
17, 0.170000, -0.566191, 9.954444
18, 0.180000, -0.599389, 9.948754
19, 0.190000, -0.632568, 9.942730
20, 0.200000, -0.665727, 9.936373
21, 0.210000, -0.698865, 9.929682
22, 0.220000, -0.731980, 9.922658
23, 0.230000, -0.765073, 9.915302
24, 0.240000, -0.798140, 9.907613
25, 0.250000, -0.831182, 9.899592
26, 0.260000, -0.864198, 9.891238
27, 0.270000, -0.897185, 9.882553
28, 0.280000, -0.930144, 9.873536
29, 0.290000, -0.963072, 9.864188
30, 0.300000, -0.995969, 9.854510
31, 0.310000, -1.028834, 9.844500
32, 0.320000, -1.061666, 9.834160
33, 0.330000, -1.094463, 9.823491
34, 0.340000, -1.127225, 9.812491
35, 0.350000, -1.159950, 9.801163
36, 0.360000, -1.192637, 9.789505
37, 0.370000, -1.225285, 9.777519
38, 0.380000, -1.257894, 9.765205
39, 0.390000, -1.290461, 9.752563
40, 0.400000, -1.322986, 9.739594
41, 0.410000, -1.355468, 9.726298
42, 0.420000, -1.387906, 9.712676
43, 0.430000, -1.420298, 9.698727
44, 0.440000, -1.452644, 9.684453
45, 0.450000, -1.484942, 9.669854
46, 0.460000, -1.517192, 9.654930
47, 0.470000, -1.549392, 9.639683
48, 0.480000, -1.581540, 9.624111
49, 0.490000, -1.613638, 9.608217
50, 0.500000, -1.645682, 9.592000
51, 0.510000, -1.677672, 9.575461
52, 0.520000, -1.709606, 9.558600
53, 0.530000, -1.741485, 9.541418
54, 0.540000, -1.773306, 9.523917
55, 0.550000, -1.805070, 9.506095
56, 0.560000, -1.836773, 9.487954
57, 0.570000, -1.868416, 9.469494
58, 0.580000, -1.899998, 9.450717
59, 0.590000, -1.931517, 9.431622
60, 0.600000, -1.962972, 9.412210
61, 0.610000, -1.994363, 9.392482
62, 0.620000, -2.025688, 9.372439
63, 0.630000, -2.056946, 9.352081
64, 0.640000, -2.088137, 9.331408
65, 0.650000, -2.119258, 9.310422
66, 0.660000, -2.150309, 9.289124
67, 0.670000, -2.181290, 9.267513
68, 0.680000, -2.212198, 9.245591
69, 0.690000, -2.243033, 9.223359
70, 0.700000, -2.273795, 9.200816
71, 0.710000, -2.304481, 9.177965
72, 0.720000, -2.335091, 9.154805
73, 0.730000, -2.365623, 9.131337
74, 0.740000, -2.396078, 9.107562
75, 0.750000, -2.426453, 9.083482
76, 0.760000, -2.456748, 9.059096
77, 0.770000, -2.486961, 9.034406
78, 0.780000, -2.517093, 9.009412
79, 0.790000, -2.547141, 8.984115
80, 0.800000, -2.577105, 8.958516
81, 0.810000, -2.606983, 8.932616
82, 0.820000, -2.636775, 8.906416
83, 0.830000, -2.666480, 8.879917
84, 0.840000, -2.696096, 8.853118
85, 0.850000, -2.725623, 8.826023
86, 0.860000, -2.755060, 8.798630
87, 0.870000, -2.784405, 8.770942
88, 0.880000, -2.813658, 8.742958
89, 0.890000, -2.842818, 8.714681
90, 0.900000, -2.871884, 8.686111
91, 0.910000, -2.900854, 8.657248
92, 0.920000, -2.929728, 8.628095
93, 0.930000, -2.958505, 8.598651
94, 0.940000, -2.987184, 8.568918
95, 0.950000, -3.015764, 8.538897
96, 0.960000, -3.044244, 8.508589
97, 0.970000, -3.072622, 8.477994
98, 0.980000, -3.100899, 8.447114
99, 0.990000, -3.129073, 8.415950
100, 1.000000, -3.157143, 8.384503
101, 1.010000, -3.185108, 8.352774
102, 1.020000, -3.212967, 8.320763
103, 1.030000, -3.240719, 8.288473
104, 1.040000, -3.268364, 8.255904
105, 1.050000, -3.295901, 8.223057
106, 1.060000, -3.323327, 8.189933
107, 1.070000, -3.350644, 8.156533
108, 1.080000, -3.377849, 8.122859
109, 1.090000, -3.404942, 8.088912
110, 1.100000, -3.431922, 8.054692
111, 1.110000, -3.458787, 8.020201
112, 1.120000, -3.485538, 7.985441
113, 1.130000, -3.512173, 7.950411
114, 1.140000, -3.538691, 7.915114
115, 1.150000, -3.565091, 7.879550
116, 1.160000, -3.591373, 7.843721
117, 1.170000, -3.617535, 7.807627
118, 1.180000, -3.643577, 7.771271
119, 1.190000, -3.669498, 7.734653
120, 1.200000, -3.695297, 7.697775
121, 1.210000, -3.720973, 7.660637
122, 1.220000, -3.746525, 7.623241
123, 1.230000, -3.771953, 7.585589
124, 1.240000, -3.797255, 7.547681
125, 1.250000, -3.822430, 7.509518
126, 1.260000, -3.847479, 7.471103
127, 1.270000, -3.872399, 7.432436
128, 1.280000, -3.897190, 7.393518
129, 1.290000, -3.921852, 7.354351
130, 1.300000, -3.946383, 7.314937
131, 1.310000, -3.970783, 7.275275
132, 1.320000, -3.995051, 7.235369
133, 1.330000, -4.019185, 7.195219
134, 1.340000, -4.043186, 7.154826
135, 1.350000, -4.067052, 7.114192
136, 1.360000, -4.090783, 7.073318
137, 1.370000, -4.114377, 7.032206
138, 1.380000, -4.137834, 6.990856
139, 1.390000, -4.161154, 6.949271
140, 1.400000, -4.184335, 6.907451
141, 1.410000, -4.207376, 6.865399
142, 1.420000, -4.230278, 6.823115
143, 1.430000, -4.253038, 6.780600
144, 1.440000, -4.275657, 6.737857
145, 1.450000, -4.298133, 6.694887
146, 1.460000, -4.320466, 6.651691
147, 1.470000, -4.342655, 6.608270
148, 1.480000, -4.364699, 6.564626
149, 1.490000, -4.386598, 6.520761
150, 1.500000, -4.408350, 6.476676
151, 1.510000, -4.429956, 6.432372
152, 1.520000, -4.451414, 6.387851
153, 1.530000, -4.472723, 6.343114
154, 1.540000, -4.493884, 6.298163
155, 1.550000, -4.514894, 6.253000
156, 1.560000, -4.535754, 6.207625
157, 1.570000, -4.556463, 6.162041
158, 1.580000, -4.577020, 6.116248
159, 1.590000, -4.597424, 6.070249
160, 1.600000, -4.617675, 6.024045
161, 1.610000, -4.637772, 5.977638
162, 1.620000, -4.657714, 5.931028
163, 1.630000, -4.677501, 5.884218
164, 1.640000, -4.697131, 5.837209
165, 1.650000, -4.716605, 5.790003
166, 1.660000, -4.735922, 5.742601
167, 1.670000, -4.755081, 5.695005
168, 1.680000, -4.774081, 5.647216
169, 1.690000, -4.792921, 5.599237
170, 1.700000, -4.811602, 5.551068
171, 1.710000, -4.830122, 5.502711
172, 1.720000, -4.848481, 5.454169
173, 1.730000, -4.866679, 5.405441
174, 1.740000, -4.884713, 5.356531
175, 1.750000, -4.902585, 5.307440
176, 1.760000, -4.920293, 5.258169
177, 1.770000, -4.937837, 5.208720
178, 1.780000, -4.955216, 5.159095
179, 1.790000, -4.972430, 5.109295
180, 1.800000, -4.989478, 5.059322
181, 1.810000, -5.006359, 5.009178
182, 1.820000, -5.023073, 4.958864
183, 1.830000, -5.039619, 4.908382
184, 1.840000, -5.055997, 4.857734
185, 1.850000, -5.072206, 4.806921
186, 1.860000, -5.088246, 4.755945
187, 1.870000, -5.104115, 4.704808
188, 1.880000, -5.119815, 4.653512
189, 1.890000, -5.135343, 4.602058
190, 1.900000, -5.150700, 4.550448
191, 1.910000, -5.165885, 4.498683
192, 1.920000, -5.180897, 4.446766
193, 1.930000, -5.195736, 4.394698
194, 1.940000, -5.210402, 4.342481
195, 1.950000, -5.224894, 4.290116
196, 1.960000, -5.239211, 4.237606
197, 1.970000, -5.253353, 4.184952
198, 1.980000, -5.267319, 4.132156
199, 1.990000, -5.281110, 4.079219
200, 2.000000, -5.294724, 4.026144
201, 2.010000, -5.308161, 3.972932
202, 2.020000, -5.321421, 3.919585
203, 2.030000, -5.334503, 3.866105
204, 2.040000, -5.347406, 3.812493
205, 2.050000, -5.360131, 3.758752
206, 2.060000, -5.372677, 3.704882
207, 2.070000, -5.385043, 3.650887
208, 2.080000, -5.397230, 3.596767
209, 2.090000, -5.409236, 3.542525
210, 2.100000, -5.421061, 3.488162
211, 2.110000, -5.432705, 3.433681
212, 2.120000, -5.444167, 3.379082
213, 2.130000, -5.455447, 3.324368
214, 2.140000, -5.466545, 3.269541
215, 2.150000, -5.477460, 3.214602
216, 2.160000, -5.488192, 3.159554
217, 2.170000, -5.498741, 3.104397
218, 2.180000, -5.509105, 3.049135
219, 2.190000, -5.519286, 2.993768
220, 2.200000, -5.529282, 2.938300
221, 2.210000, -5.539093, 2.882730
222, 2.220000, -5.548718, 2.827062
223, 2.230000, -5.558159, 2.771298
224, 2.240000, -5.567413, 2.715438
225, 2.250000, -5.576481, 2.659486
226, 2.260000, -5.585363, 2.603442
227, 2.270000, -5.594058, 2.547309
228, 2.280000, -5.602565, 2.491089
229, 2.290000, -5.610886, 2.434783
230, 2.300000, -5.619018, 2.378394
231, 2.310000, -5.626963, 2.321923
232, 2.320000, -5.634719, 2.265372
233, 2.330000, -5.642287, 2.208743
234, 2.340000, -5.649666, 2.152038
235, 2.350000, -5.656856, 2.095259
236, 2.360000, -5.663857, 2.038407
237, 2.370000, -5.670669, 1.981485
238, 2.380000, -5.677290, 1.924495
239, 2.390000, -5.683722, 1.867438
240, 2.400000, -5.689963, 1.810317
241, 2.410000, -5.696014, 1.753133
242, 2.420000, -5.701875, 1.695888
243, 2.430000, -5.707544, 1.638584
244, 2.440000, -5.713023, 1.581223
245, 2.450000, -5.718310, 1.523807
246, 2.460000, -5.723407, 1.466338
247, 2.470000, -5.728311, 1.408818
248, 2.480000, -5.733024, 1.351249
249, 2.490000, -5.737545, 1.293632
250, 2.500000, -5.741873, 1.235969
251, 2.510000, -5.746010, 1.178264
252, 2.520000, -5.749954, 1.120516
253, 2.530000, -5.753706, 1.062729
254, 2.540000, -5.757265, 1.004904
255, 2.550000, -5.760631, 0.947044
256, 2.560000, -5.763805, 0.889150
257, 2.570000, -5.766785, 0.831223
258, 2.580000, -5.769573, 0.773267
259, 2.590000, -5.772167, 0.715283
260, 2.600000, -5.774568, 0.657273
261, 2.610000, -5.776775, 0.599238
262, 2.620000, -5.778790, 0.541182
263, 2.630000, -5.780610, 0.483105
264, 2.640000, -5.782237, 0.425010
265, 2.650000, -5.783670, 0.366898
266, 2.660000, -5.784910, 0.308772
267, 2.670000, -5.785956, 0.250634
268, 2.680000, -5.786808, 0.192485
269, 2.690000, -5.787466, 0.134328
270, 2.700000, -5.787931, 0.076164
271, 2.710000, -5.788201, 0.017995
272, 2.720000, -5.788278, -0.040176
273, 2.730000, -5.788161, -0.098349
274, 2.740000, -5.787850, -0.156520
275, 2.750000, -5.787345, -0.214688
276, 2.760000, -5.786646, -0.272850
277, 2.770000, -5.785753, -0.331006
278, 2.780000, -5.784666, -0.389153
279, 2.790000, -5.783386, -0.447289
280, 2.800000, -5.781911, -0.505412
281, 2.810000, -5.780243, -0.563520
282, 2.820000, -5.778382, -0.621612
283, 2.830000, -5.776326, -0.679684
284, 2.840000, -5.774077, -0.737736
285, 2.850000, -5.771635, -0.795766
286, 2.860000, -5.768999, -0.853771
287, 2.870000, -5.766170, -0.911749
288, 2.880000, -5.763147, -0.969699
289, 2.890000, -5.759931, -1.027619
290, 2.900000, -5.756523, -1.085506
291, 2.910000, -5.752921, -1.143359
292, 2.920000, -5.749127, -1.201176
293, 2.930000, -5.745139, -1.258955
294, 2.940000, -5.740959, -1.316693
295, 2.950000, -5.736587, -1.374390
296, 2.960000, -5.732022, -1.432043
297, 2.970000, -5.727266, -1.489650
298, 2.980000, -5.722317, -1.547209
299, 2.990000, -5.717176, -1.604718
300, 3.000000, -5.711844, -1.662176
301, 3.010000, -5.706320, -1.719580
302, 3.020000, -5.700605, -1.776928
303, 3.030000, -5.694698, -1.834219
304, 3.040000, -5.688601, -1.891451
305, 3.050000, -5.682313, -1.948621
306, 3.060000, -5.675834, -2.005729
307, 3.070000, -5.669165, -2.062771
308, 3.080000, -5.662306, -2.119746
309, 3.090000, -5.655256, -2.176652
310, 3.100000, -5.648018, -2.233487
311, 3.110000, -5.640589, -2.290250
312, 3.120000, -5.632972, -2.346938
313, 3.130000, -5.625165, -2.403549
314, 3.140000, -5.617170, -2.460082
315, 3.150000, -5.608986, -2.516535
316, 3.160000, -5.600615, -2.572905
317, 3.170000, -5.592055, -2.629191
318, 3.180000, -5.583308, -2.685391
319, 3.190000, -5.574373, -2.741503
320, 3.200000, -5.565251, -2.797526
321, 3.210000, -5.555943, -2.853457
322, 3.220000, -5.546448, -2.909294
323, 3.230000, -5.536767, -2.965036
324, 3.240000, -5.526900, -3.020680
325, 3.250000, -5.516848, -3.076226
326, 3.260000, -5.506611, -3.131670
327, 3.270000, -5.496188, -3.187011
328, 3.280000, -5.485582, -3.242248
329, 3.290000, -5.474791, -3.297378
330, 3.300000, -5.463816, -3.352400
331, 3.310000, -5.452658, -3.407311
332, 3.320000, -5.441317, -3.462110
333, 3.330000, -5.429794, -3.516796
334, 3.340000, -5.418088, -3.571365
335, 3.350000, -5.406200, -3.625817
336, 3.360000, -5.394130, -3.680149
337, 3.370000, -5.381880, -3.734360
338, 3.380000, -5.369449, -3.788448
339, 3.390000, -5.356837, -3.842411
340, 3.400000, -5.344046, -3.896247
341, 3.410000, -5.331075, -3.949955
342, 3.420000, -5.317925, -4.003532
343, 3.430000, -5.304597, -4.056977
344, 3.440000, -5.291090, -4.110289
345, 3.450000, -5.277406, -4.163464
346, 3.460000, -5.263544, -4.216502
347, 3.470000, -5.249506, -4.269401
