i, t, x, y, v_x, v_y
0,0,0.1,0,0,0.1
1,0.005,0.100501,0.000501,0.000501,0.1
2,0.01,0.101002,0.001002,0.001002,0.099998
3,0.015,0.101504,0.001504,0.001504,0.099993
4,0.02,0.102005,0.002005,0.002005,0.099985
5,0.025,0.102506,0.002506,0.002506,0.099975
6,0.03,0.103007,0.003007,0.003007,0.099963
7,0.035,0.103508,0.003508,0.003508,0.099948
8,0.04,0.104009,0.004009,0.004009,0.09993
9,0.045,0.10451,0.00451,0.00451,0.09991
10,0.05,0.105011,0.005011,0.005011,0.099888
11,0.055,0.105512,0.005512,0.005512,0.099863
12,0.06,0.106012,0.006012,0.006012,0.099835
13,0.065,0.106513,0.006513,0.006513,0.099805
14,0.07,0.107013,0.007013,0.007013,0.099773
15,0.075,0.107513,0.007513,0.007513,0.099738
16,0.08,0.108013,0.008013,0.008013,0.0997
17,0.085,0.108513,0.008513,0.008513,0.09966
18,0.09,0.109012,0.009012,0.009012,0.099618
19,0.095,0.109512,0.009512,0.009512,0.099573
20,0.1,0.110011,0.010011,0.010011,0.099525
21,0.105,0.11051,0.01051,0.01051,0.099475
22,0.11,0.111008,0.011008,0.011008,0.099423
23,0.115,0.111507,0.011507,0.011507,0.099368
24,0.12,0.112005,0.012005,0.012005,0.099311
25,0.125,0.112502,0.012502,0.012502,0.099251
26,0.13,0.113,0.013,0.013,0.099188
27,0.135,0.113497,0.013497,0.013497,0.099124
28,0.14,0.113994,0.013994,0.013994,0.099056
29,0.145,0.11449,0.01449,0.01449,0.098986
30,0.15,0.114987,0.014987,0.014987,0.098914
31,0.155,0.115482,0.015482,0.015482,0.098839
32,0.16,0.115978,0.015978,0.015978,0.098762
33,0.165,0.116473,0.016473,0.016473,0.098683
34,0.17,0.116968,0.016968,0.016968,0.0986
35,0.175,0.117462,0.017462,0.017462,0.098516
36,0.18,0.117956,0.017956,0.017956,0.098429
37,0.185,0.118449,0.018449,0.018449,0.098339
38,0.19,0.118942,0.018942,0.018942,0.098247
39,0.195,0.119434,0.019434,0.019434,0.098153
40,0.2,0.119926,0.019926,0.019926,0.098056
41,0.205,0.120418,0.020418,0.020418,0.097956
42,0.21,0.120909,0.020909,0.020909,0.097855
43,0.215,0.121399,0.021399,0.021399,0.09775
44,0.22,0.121889,0.021889,0.021889,0.097643
45,0.225,0.122379,0.022379,0.022379,0.097534
46,0.23,0.122868,0.022868,0.022868,0.097423
47,0.235,0.123356,0.023356,0.023356,0.097309
48,0.24,0.123844,0.023844,0.023844,0.097192
49,0.245,0.124331,0.024331,0.024331,0.097073
50,0.25,0.124818,0.024818,0.024818,0.096952
51,0.255,0.125304,0.025304,0.025304,0.096828
52,0.26,0.125789,0.025789,0.025789,0.096702
53,0.265,0.126274,0.026274,0.026274,0.096573
54,0.27,0.126758,0.026758,0.026758,0.096442
55,0.275,0.127241,0.027241,0.027241,0.096309
56,0.28,0.127724,0.027724,0.027724,0.096173
57,0.285,0.128206,0.028206,0.028206,0.096035
58,0.29,0.128687,0.028687,0.028687,0.095894
